       8,  -0.013490,   0.963255,   0.242874
      12,  -0.010804,   0.964964,   0.244339
      12,  -0.007874,   0.965086,   0.247513
      13,  -0.010316,   0.965696,   0.249466
      14,  -0.009583,   0.965696,   0.252640
      15,  -0.006409,   0.962522,   0.249466
      16,  -0.009095,   0.957395,   0.250443
      16,  -0.005921,   0.955442,   0.247757
      17,  -0.002991,   0.956662,   0.243362
      18,  -0.005432,   0.958372,   0.243240
      19,  -0.007630,   0.960569,   0.246536
      20,  -0.004456,   0.960569,   0.250198
      20,  -0.005921,   0.962522,   0.244827
      21,  -0.006287,   0.963987,   0.243118
      22,  -0.003968,   0.961790,   0.245071
      24,  -0.005921,   0.961545,   0.240188
      25,  -0.006409,   0.962522,   0.239211
      26,  -0.003357,   0.968748,   0.241531
      27,  -0.001526,   0.968382,   0.240432
      29,  -0.002014,   0.969114,   0.242874
      30,  -0.003479,   0.966917,   0.243850
      31,  -0.003723,   0.963865,   0.234694
      32,  -0.005188,   0.959104,   0.236037
      34,  -0.006409,   0.954709,   0.238479
      35,  -0.003968,   0.952756,   0.237258
      39,  -0.007019,   0.954831,   0.232375
      40,  -0.005188,   0.958372,   0.235305
      41,  -0.011536,   0.956784,   0.234817
      43,  -0.013001,   0.961301,   0.235549
      44,  -0.012269,   0.963499,   0.237991
      45,  -0.009095,   0.963255,   0.240432
      46,  -0.009461,   0.963865,   0.237991
      49,  -0.008606,   0.970091,   0.234328
      50,  -0.008362,   0.969603,   0.235061
      51,  -0.010438,   0.974974,   0.235305
      52,  -0.011781,   0.972288,   0.240188
      54,  -0.009583,   0.971068,   0.239944
      57,  -0.009583,   0.971312,   0.242141
      59,  -0.012147,   0.961790,   0.240676
      60,  -0.014466,   0.954465,   0.236037
      61,  -0.012025,   0.955197,   0.238845
      65,  -0.013490,   0.952756,   0.242630
      66,  -0.016175,   0.953244,   0.240188
      67,  -0.016664,   0.956784,   0.242630
      69,  -0.015687,   0.957395,   0.242874
      70,  -0.016419,   0.960081,   0.243362
      71,  -0.014466,   0.963133,   0.243972
      72,  -0.015687,   0.964964,   0.243850
      74,  -0.018861,   0.967161,   0.239944
      75,  -0.017640,   0.965208,   0.240432
      76,  -0.014344,   0.965940,   0.242141
      77,  -0.012513,   0.963499,   0.236037
      79,  -0.013978,   0.965452,   0.237991
      80,  -0.016419,   0.968382,   0.240432
      81,  -0.013612,   0.965452,   0.240920
      82,  -0.014222,   0.965696,   0.236037
      84,  -0.016175,   0.966917,   0.239456
      85,  -0.015687,   0.963743,   0.238967
      86,  -0.012391,   0.962888,   0.233962
      87,  -0.012269,   0.961545,   0.235305
      89,  -0.013978,   0.962766,   0.236282
      90,  -0.015199,   0.962278,   0.238723
      91,  -0.013490,   0.961179,   0.237746
      92,  -0.014222,   0.962278,   0.237502
      94,  -0.014222,   0.963499,   0.237991
      95,  -0.012025,   0.965208,   0.235061
      96,  -0.012147,   0.962278,   0.234084
      97,  -0.013245,   0.964475,   0.237991
      99,  -0.014222,   0.964964,   0.237014
     100,  -0.011781,   0.960325,   0.236282
